,exp_id,agent_id,model,seed,gamma,num_episodes,time_limit,step_limit,show_tree,show_belief,show_pi,render_asci,policy_name,nesting_level,num_sims,r_hi,r_lo,rollout_policies,uct_c,epsilon,policy_entropy_mean,policy_entropy_std,search_time_mean,search_time_std,update_time_mean,update_time_std,reinvigoration_time_mean,reinvigoration_time_std,episode_returns_mean,episode_returns_std,episode_returns_max,episode_returns_min,episode_discounted_returns_mean,episode_discounted_returns_std,episode_discounted_returns_max,episode_discounted_returns_min,episode_steps_mean,episode_steps_std,episode_times_mean,episode_times_std,episode_dones,num_outcome_LOSS,num_outcome_DRAW,num_outcome_WIN,num_outcome_NA
0,11,0,PEModel,0,0.95,100,86400,40,None,None,None,FALSE,NestedSearchTree,1,2048,,,"{0: (<class 'posgmcp.envs.pe.policies.PESPPolicy'>, {'r_hi': 90, 'r_lo': -138}), 1: (<class 'posgmcp.policy.random_policy.RandomPolicy'>, {})}",230,0.1,0.5107014955,0.5093274889,23.20960081,6.185635439,1.46214481,0.901021715,2.976162168,3.408984807,43.17,75.89361699,92,-135,19.72555572,38.33265892,56.62992917,-87.59,17.71,10.0392181,491.1683164,419.824544,0.88,14,12,74,0
1,11,1,PEModel,0,0.95,100,86400,40,None,None,None,FALSE,NestedSearchTree,2,16,,,"{0: (<class 'posgmcp.envs.pe.policies.PESPPolicy'>, {'r_hi': 90, 'r_lo': -138}), 1: (<class 'posgmcp.policy.random_policy.RandomPolicy'>, {})}",230,0.1,1.967729438,0.009558394229,0.2705026769,0.05176854496,0.02647717496,0.008278757776,0.09990393241,0.07687799189,-76.83,69.6609008,98,-133,-39.83108351,36.36930601,83.885,-69.41995278,17.71,10.0392181,491.1683164,419.824544,0.88,74,12,14,0
0,12,0,PEModel,0,0.95,100,86400,40,None,None,None,FALSE,NestedSearchTree,1,2048,,,"{0: (<class 'posgmcp.envs.pe.policies.PESPPolicy'>, {'r_hi': 90, 'r_lo': -138}), 1: (<class 'posgmcp.policy.random_policy.RandomPolicy'>, {})}",230,0.1,0.4538278719,0.428217605,22.98365387,5.717187802,0.9619982772,0.5907510352,1.3874477,1.977899783,6.16,96.16254156,92,-131,-6.112736502,59.19921513,56.62992917,-87.59,10.84,5.324884975,706.9410547,410.0760925,1,42,0,58,0
1,12,1,PEModel,0,0.95,100,86400,40,None,None,None,FALSE,NestedSearchTree,1,4096,,,"{0: (<class 'posgmcp.envs.pe.policies.PESPPolicy'>, {'r_hi': 90, 'r_lo': -138}), 1: (<class 'posgmcp.policy.random_policy.RandomPolicy'>, {})}",230,0.1,0.02292734395,0.05323539556,40.95601356,10.32529955,1.381823733,0.8980471746,1.918096321,2.94615916,-25.84,101.4764721,98,-132,-8.169278324,62.78637983,83.885,-69.41995278,10.84,5.324884975,706.9410547,410.0760925,1,58,0,42,0
0,13,0,PEModel,0,0.95,100,86400,40,None,None,None,FALSE,NestedSearchTree,1,2048,,,"{0: (<class 'posgmcp.envs.pe.policies.PESPPolicy'>, {'r_hi': 90, 'r_lo': -138}), 1: (<class 'posgmcp.policy.random_policy.RandomPolicy'>, {})}",230,0.1,0.5227886117,0.4832565656,20.2509226,5.912468011,1.104199805,0.5640715794,1.61003302,1.761252275,17.01,93.71995465,92,-131,0.5854103148,54.83974433,56.62992917,-80.902475,11.99,4.689338973,517.3987664,250.3989429,1,36,0,64,0
1,13,1,PEModel,0,0.95,100,86400,40,None,None,None,FALSE,NestedSearchTree,1,2048,,,"{0: (<class 'posgmcp.envs.pe.policies.PESPPolicy'>, {'r_hi': 90, 'r_lo': -138}), 1: (<class 'posgmcp.policy.random_policy.RandomPolicy'>, {})}",230,0.1,0.08649914921,0.1035068072,20.17840094,5.053039248,0.8842427653,0.4484071736,1.588786219,1.729620919,-38.99,98.4507486,96,-119,-16.3605968,57.86067444,73.8537125,-69.41995278,11.99,4.689338973,517.3987664,250.3989429,1,64,0,36,0
0,14,0,PEModel,0,0.95,100,86400,40,None,None,None,FALSE,NestedSearchTree,1,2048,,,"{0: (<class 'posgmcp.envs.pe.policies.PESPPolicy'>, {'r_hi': 90, 'r_lo': -138}), 1: (<class 'posgmcp.policy.random_policy.RandomPolicy'>, {})}",230,0.1,0.4954948849,0.4783692611,21.12809725,5.66402291,1.057886583,0.6767411993,1.735725243,2.718787031,20.5,91.83436176,92,-126,3.197036024,54.01500011,56.62992917,-87.59,12.48,6.035693829,436.1212541,272.8988757,0.98,33,2,65,0
1,14,1,PEModel,0,0.95,100,86400,40,None,None,None,FALSE,NestedSearchTree,1,1024,,,"{0: (<class 'posgmcp.envs.pe.policies.PESPPolicy'>, {'r_hi': 90, 'r_lo': -138}), 1: (<class 'posgmcp.policy.random_policy.RandomPolicy'>, {})}",230,0.1,0.262061133,0.2122082537,11.24010124,2.051243609,0.5635936918,0.3003543736,1.16640897,1.494286586,-43.5,95.88300162,98,-126,-19.25473848,56.84362678,83.885,-69.41995278,12.48,6.035693829,436.1212541,272.8988757,0.98,65,2,33,0
0,15,0,PEModel,0,0.95,100,86400,40,None,None,None,FALSE,NestedSearchTree,1,2048,,,"{0: (<class 'posgmcp.envs.pe.policies.PESPPolicy'>, {'r_hi': 90, 'r_lo': -138}), 1: (<class 'posgmcp.policy.random_policy.RandomPolicy'>, {})}",230,0.1,0.499323704,0.4363089126,22.40816915,5.821230669,1.079221352,0.662849804,1.77346151,2.508495165,10.1,95.9710894,92,-136,0.08882238866,54.73687473,56.62992917,-87.59,12.88,6.763549364,395.6990921,271.7523961,0.98,38,2,60,0
1,15,1,PEModel,0,0.95,100,86400,40,None,None,None,FALSE,NestedSearchTree,1,512,,,"{0: (<class 'posgmcp.envs.pe.policies.PESPPolicy'>, {'r_hi': 90, 'r_lo': -138}), 1: (<class 'posgmcp.policy.random_policy.RandomPolicy'>, {})}",230,0.1,0.7423586892,0.3037187634,5.872467998,0.9678603476,0.3424813496,0.1719628534,0.8324147305,0.8784397229,-33.9,97.54614293,98,-120,-16.37121536,56.87125278,83.885,-69.41995278,12.88,6.763549364,395.6990921,271.7523961,0.98,60,2,38,0
0,16,0,PEModel,0,0.95,100,86400,40,None,None,None,FALSE,NestedSearchTree,1,2048,,,"{0: (<class 'posgmcp.envs.pe.policies.PESPPolicy'>, {'r_hi': 90, 'r_lo': -138}), 1: (<class 'posgmcp.policy.random_policy.RandomPolicy'>, {})}",230,0.1,0.5146081853,0.5076003417,23.09660754,5.443517592,1.254742205,0.6852106682,2.039989281,2.86192422,37.81,86.72031999,92,-138,18.09179007,44.51172219,56.62992917,-77.80735125,14.18,6.124344863,386.3803412,238.3647829,0.99,24,1,75,0
1,16,1,PEModel,0,0.95,100,86400,40,None,None,None,FALSE,NestedSearchTree,1,128,,,"{0: (<class 'posgmcp.envs.pe.policies.PESPPolicy'>, {'r_hi': 90, 'r_lo': -138}), 1: (<class 'posgmcp.policy.random_policy.RandomPolicy'>, {})}",230,0.1,1.637829485,0.156471165,1.529551944,0.2425621271,0.1032393175,0.03958496006,0.2580612266,0.2014383764,-64.19,84.57927583,95,-136,-35.9813515,43.70257272,69.21102687,-69.41995278,14.18,6.124344863,386.3803412,238.3647829,0.99,75,1,24,0
0,17,0,PEModel,0,0.95,100,86400,40,None,None,None,FALSE,NestedSearchTree,1,2048,,,"{0: (<class 'posgmcp.envs.pe.policies.PESPPolicy'>, {'r_hi': 90, 'r_lo': -138}), 1: (<class 'posgmcp.policy.random_policy.RandomPolicy'>, {})}",230,0.1,0.6078904912,0.5219126336,22.88123063,6.44894653,1.601422805,1.006981121,3.801400558,4.792854048,33.62,80.26503348,92,-138,15.34011994,42.04861851,56.62992917,-77.80735125,18.23,11.1380923,508.6271746,438.3410131,0.85,17,15,68,0
