,exp_id,agent_id,model,seed,gamma,num_episodes,time_limit,step_limit,show_tree,show_belief,show_pi,render_asci,policy_name,nesting_level,num_sims,rollout_policies,uct_c,epsilon,policy_entropy_mean,policy_entropy_std,search_time_mean,search_time_std,update_time_mean,update_time_std,reinvigoration_time_mean,reinvigoration_time_std,episode_returns_mean,episode_returns_std,episode_returns_max,episode_returns_min,episode_discounted_returns_mean,episode_discounted_returns_std,episode_discounted_returns_max,episode_discounted_returns_min,episode_steps_mean,episode_steps_std,episode_times_mean,episode_times_std,episode_dones,num_outcome_LOSS,num_outcome_DRAW,num_outcome_WIN,num_outcome_NA
0,1,0,RCModel,0,0.95,1000,43200,20,None,None,None,False,NestedSearchTree,1,1024,None,180.0,0.1,1.0941404029096916e-11,1.0600799320863051e-11,0.388212292432785,0.0561661895853282,0.0583124623298645,0.0553478278335468,8.05579423904419e-05,0.0015424635724602,99.0,0.0,99.0,99.0,94.0,0.0,94.0,94.0,2.0,0.0,1.3506219501495362,0.0617846689727275,1.0,0,0,1000,0
1,1,1,RCModel,0,0.95,1000,43200,20,None,None,None,False,NestedSearchTree,0,1024,None,180.0,0.1,0.0123047745485276,0.0621686681018799,0.207364706993103,0.0298164091895438,0.0201916865110397,0.017232271196863,0.0003017055988311,0.0030982749654312,-101.0,0.0,-101.0,-101.0,-96.0,0.0,-96.0,-96.0,2.0,0.0,1.3506219501495362,0.0617846689727275,1.0,1000,0,0,0
0,0,0,RCModel,0,0.95,1000,43200,20,None,None,None,False,NestedSearchTree,1,1024,None,180.0,0.1,1.0893534855448392e-11,1.0527589255692591e-11,0.3455273243188858,0.0394319765201366,0.0612766814231872,0.0401398960621644,3.611266613006592e-05,0.0001847381552703,99.0,0.0,99.0,99.0,94.0,0.0,94.0,94.0,2.0,0.0,0.815167629957199,0.0491123371069322,1.0,0,0,1000,0
1,0,1,RCModel,0,0.95,1000,43200,20,None,None,None,False,RandomPolicy,None,None,None,None,None,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-101.0,0.0,-101.0,-101.0,-96.0,0.0,-96.0,-96.0,2.0,0.0,0.815167629957199,0.0491123371069322,1.0,1000,0,0,0
