,exp_id,agent_id,model,seed,gamma,num_episodes,time_limit,step_limit,show_tree,show_belief,show_pi,render_asci,policy_name,nesting_level,num_sims,rollout_policies,uct_c,epsilon,policy_entropy_mean,policy_entropy_std,search_time_mean,search_time_std,update_time_mean,update_time_std,reinvigoration_time_mean,reinvigoration_time_std,episode_returns_mean,episode_returns_std,episode_returns_max,episode_returns_min,episode_discounted_returns_mean,episode_discounted_returns_std,episode_discounted_returns_max,episode_discounted_returns_min,episode_steps_mean,episode_steps_std,episode_times_mean,episode_times_std,episode_dones,num_outcome_LOSS,num_outcome_DRAW,num_outcome_WIN,num_outcome_NA
0,127,0,RCModel,0,0.95,250,43200,20,None,None,None,False,NestedSearchTree,0,128,None,110.0,0.1,1.3400190056018502,0.3260042369568263,0.2069514801005975,0.0333384450721008,0.0059944818631222,0.0050561806228364,0.0017241435099517,0.0034812019837641,-86.62,56.94309088906225,91.0,-109.0,-65.80275071890986,35.665018289441974,52.84843270860545,-80.90247499999998,6.82,2.2951252689123525,1.4714942989349364,0.572158311034368,1.0,226,0,24,0
1,127,1,RCModel,0,0.95,250,43200,20,None,None,None,False,RCNestedReasoningPolicy,1,None,None,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.98,60.9158403044725,96.0,-116.0,56.175282124117246,38.2648071821814,73.85371249999997,-66.8989551390703,6.82,2.2951252689123525,1.4714942989349364,0.572158311034368,1.0,24,0,226,0
0,55,0,RCModel,0,0.95,250,43200,20,None,None,None,False,NestedSearchTree,2,128,None,110.0,0.1,0.9865965179709726,0.2285531846472308,0.7244180422904675,0.0297518560489483,0.0618996828546322,0.0185680903024363,0.0331639569851045,0.0284655560737778,83.192,39.41008926658247,94.0,-108.0,50.04503362878171,26.994483524659888,64.80047553124997,-77.80735124999998,9.404,2.5457383997575245,7.501090009689331,2.524591485268426,0.996,10,1,239,0
1,55,1,RCModel,0,0.95,250,43200,20,None,None,None,False,RandomPolicy,None,None,None,None,None,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.008,39.98579667832063,95.0,-119.0,-63.15771482964199,26.652511961448603,69.21102687499999,-74.86698368749997,9.404,2.5457383997575245,7.501090009689331,2.524591485268426,0.996,239,1,10,0
0,83,0,RCModel,0,0.95,250,43200,20,None,None,None,False,NestedSearchTree,1,1024,None,110.0,0.1,0.3041820948531536,0.183357349522719,3.2958089477202246,0.3269589669942983,0.186108562642269,0.0905875903015585,0.0296845916605932,0.0406922177000184,64.892,69.84629078197347,94.0,-107.0,42.81755816868663,49.122066074369485,64.80047553124997,-77.80735124999998,7.308,0.9408166665190408,25.49860146713257,4.616770530088004,1.0,36,0,214,0
1,83,1,RCModel,0,0.95,250,43200,20,None,None,None,False,RCNestedReasoningPolicy,2,None,None,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-77.508,70.60018368248059,95.0,-112.0,-53.291060326186695,49.60345927165168,69.21102687499999,-74.86698368749997,7.308,0.9408166665190408,25.49860146713257,4.616770530088004,1.0,214,0,36,0
0,62,0,RCModel,0,0.95,250,43200,20,None,None,None,False,NestedSearchTree,2,16,None,110.0,0.1,1.946054471633149,0.0473468659837534,0.0916782083198374,0.0049601220952505,0.0071074618653813,0.0018674340777489,0.0054177159419741,0.0034326548519813,-83.884,63.11537486223144,92.0,-115.0,-58.453692053175,36.78514391914703,56.6299291669531,-80.90247499999998,8.884,2.8841886207389416,0.8912486896514893,0.3054432638007013,1.0,220,0,30,0
1,62,1,RCModel,0,0.95,250,43200,20,None,None,None,False,RCNestedReasoningPolicy,1,None,None,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.116,66.94091830861005,96.0,-117.0,46.07499326690668,39.2873488860168,73.85371249999997,-69.41995277796872,8.884,2.8841886207389416,0.8912486896514893,0.3054432638007013,1.0,30,0,220,0
0,58,0,RCModel,0,0.95,250,43200,20,None,None,None,False,NestedSearchTree,2,128,None,110.0,0.1,1.0547055370810228,0.3672965670666089,0.7292480841699208,0.0488458579314018,0.0600766907065433,0.0190868633007433,0.0281704213056573,0.0239422901646677,61.824,71.54887157740505,94.0,-112.0,37.78070036341764,46.996126678522536,64.80047553124997,-77.80735124999998,8.776,2.044950855155204,6.989818474769592,1.9621435114628332,1.0,38,0,212,0
1,58,1,RCModel,0,0.95,250,43200,20,None,None,None,False,RCNestedReasoningPolicy,2,None,None,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-77.376,72.11659049067697,95.0,-117.0,-50.14708813487391,47.09597821214649,69.21102687499999,-74.86698368749997,8.776,2.044950855155204,6.989818474769592,1.9621435114628332,1.0,212,0,38,0
0,103,0,RCModel,0,0.95,250,43200,20,None,None,None,False,NestedSearchTree,1,1,None,110.0,0.1,1.911091381852884,0.0009188849806476,0.0038774002234141,0.0009282833915575,0.000916801286879,6.267679425109395e-05,0.0005796074776422,0.0001269397023781,-111.096,1.4500979277276382,-109.0,-113.0,-62.13577766233972,3.2159014148285605,-58.01399832924236,-66.8989551390703,12.096,1.4500979277276411,0.069155499458313,0.0147933047123296,1.0,250,0,0,0
1,103,1,RCModel,0,0.95,250,43200,20,None,None,None,False,RCNestedReasoningPolicy,2,None,None,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.904,1.4500979277276382,91.0,87.0,45.70366649350986,4.823852122242829,52.84843270860545,39.52099749386355,12.096,1.4500979277276411,0.069155499458313,0.0147933047123296,1.0,0,0,250,0
0,116,0,RCModel,0,0.95,250,43200,20,None,None,None,False,NestedSearchTree,0,1024,None,110.0,0.1,0.2306048688866847,0.1393857637390861,1.0853834325578475,0.1233654173588757,0.0366664142290751,0.0415671542212383,0.0075992547882927,0.0073806109492146,-101.804,21.361778577637192,92.0,-105.0,-78.76924684499663,14.964148201295806,56.6299291669531,-80.90247499999998,5.204,0.5535196473477703,5.873847136497497,1.1082342079814995,1.0,247,0,3,0
1,116,1,RCModel,0,0.95,250,43200,20,None,None,None,False,RCNestedReasoningPolicy,0,None,None,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.396,22.198359939418932,96.0,-108.0,71.41016955916454,15.611525309631194,73.85371249999997,-69.41995277796872,5.204,0.5535196473477703,5.873847136497497,1.1082342079814995,1.0,3,0,247,0
0,93,0,RCModel,0,0.95,250,43200,20,None,None,None,False,NestedSearchTree,1,128,None,110.0,0.1,1.0320600437373069,0.3173453019551333,0.4502918855943086,0.0371616989911258,0.0290132312815532,0.0094565851373475,0.0111097357188508,0.0086555280171598,69.004,63.78366549517207,94.0,-113.0,42.30538877008196,42.055868031375134,64.80047553124997,-77.80735124999998,8.796,1.878931611315324,4.2637701377868655,1.1607503868664122,1.0,29,0,221,0
1,93,1,RCModel,0,0.95,250,43200,20,None,None,None,False,RCNestedReasoningPolicy,2,None,None,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-84.596,64.3601179613586,95.0,-115.0,-54.715811766790566,42.206762071416016,69.21102687499999,-74.86698368749997,8.796,1.878931611315324,4.2637701377868655,1.1607503868664122,1.0,221,0,29,0
0,52,0,RCModel,0,0.95,250,43200,20,None,None,None,False,NestedSearchTree,2,512,None,110.0,0.1,0.6635230793456378,0.2794130634061472,2.8498093891507,0.2359949130684293,0.1548260342147986,0.1198882473301999,0.0460505303826312,0.0772876442789072,-60.884,81.3600303834753,92.0,-110.0,-49.87090441845518,54.50490465362555,56.6299291669531,-80.90247499999998,6.684,2.282135841706185,20.06070808315277,6.882065305779221,1.0,194,0,56,0
1,52,1,RCModel,0,0.95,250,43200,20,None,None,None,False,RCNestedReasoningPolicy,1,None,None,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.516,85.42178729106523,96.0,-114.0,40.44487986807676,57.26241309076793,73.85371249999997,-69.41995277796872,6.684,2.282135841706185,20.06070808315277,6.882065305779221,1.0,56,0,194,0
0,44,0,RCModel,0,0.95,250,43200,20,None,None,None,False,NestedSearchTree,2,2048,None,110.0,0.1,0.0161387599798522,0.0440768742000125,6.766688780148824,0.9279071911776642,0.3718468769618443,0.1925642854010812,0.0654775809106372,0.0732377171724958,-105.02,0.1400000000000001,-105.0,-106.0,-77.74854389874994,0.4116514587500011,-74.86698368749997,-77.80735124999998,6.02,0.1399999999999999,43.00106221294403,5.788066263262794,1.0,250,0,0,0
1,44,1,RCModel,0,0.95,250,43200,20,None,None,None,False,RCNestedReasoningPolicy,3,None,None,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.98,0.1400000000000001,95.0,94.0,69.12281584812516,0.6174771881250037,69.21102687499999,64.80047553124997,6.02,0.1399999999999999,43.00106221294403,5.788066263262794,1.0,0,0,250,0
0,114,0,RCModel,0,0.95,250,43200,20,None,None,None,False,NestedSearchTree,0,2048,None,110.0,0.1,0.0512418317226949,0.072027348851197,1.4808467615142702,0.1479556688967367,0.0682170317173004,0.057782207035974,0.0085159979812682,0.0102519960334158,93.9,0.3130495168499696,94.0,92.0,64.38231115834935,1.306655807636997,64.80047553124997,56.6299291669531,7.1,0.3130495168499705,11.035262837409974,1.4461807950433518,1.0,0,0,250,0
1,114,1,RCModel,0,0.95,250,43200,20,None,None,None,False,RCNestedReasoningPolicy,3,None,None,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-106.1,0.3130495168499696,-106.0,-108.0,-74.58820743889937,0.8711038717579991,-69.41995277796872,-74.86698368749997,7.1,0.3130495168499705,11.035262837409974,1.4461807950433518,1.0,250,0,0,0
0,136,0,RCModel,0,0.95,250,43200,20,None,None,None,False,NestedSearchTree,0,1,None,110.0,0.1,1.909656736644968,0.0013282013845644,0.0018094822963078,0.0004990172644559,0.0003213094552357,1.707962915483257e-05,3.5659384727478024e-05,3.207908324116051e-06,-109.208,1.4493915964983417,-107.0,-111.0,-66.52223848136695,3.552643170159859,-62.22880701301092,-72.07363450312498,10.208,1.4493915964983377,0.0306349763870239,0.007874834355958,1.0,250,0,0,0
1,136,1,RCModel,0,0.95,250,43200,20,None,None,None,False,RCNestedReasoningPolicy,0,None,None,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.792,1.4493915964983417,93.0,89.0,52.28335772205087,5.328964755239792,60.61045175468748,45.8432105195164,10.208,1.4493915964983377,0.0306349763870239,0.007874834355958,1.0,0,0,250,0
0,135,0,RCModel,0,0.95,250,43200,20,None,None,None,False,NestedSearchTree,0,1,None,110.0,0.1,1.9141000744160488,1.4744431665557028e-05,0.0017971862190648,0.000454134678119,0.0003872902041987,2.0989941991144943e-05,5.349881021600021e-05,3.211541316951402e-06,-20.392,6.185655664519301,-20.0,-118.0,-12.33676555715212,2.3353703569314743,-12.188767474237697,-49.18828820282457,19.996,0.063118935352238,0.0597717857360839,0.0093727925984613,0.004,1,249,0,0
1,135,1,RCModel,0,0.95,250,43200,20,None,None,None,False,RandomPolicy,None,None,None,None,None,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.592,6.438131405928273,82.0,-20.0,-12.034882675123866,2.42826117174056,26.282432304236885,-12.188767474237697,19.996,0.063118935352238,0.0597717857360839,0.0093727925984613,0.004,0,249,1,0
0,76,0,RCModel,0,0.95,250,43200,20,None,None,None,False,NestedSearchTree,1,2048,None,110.0,0.1,0.2072461660975779,0.1545956079760012,6.48472943222668,0.6685413749636258,0.4618626757546976,0.2704422829896731,0.1159965368757397,0.1240316458299568,22.656,93.61103387955944,92.0,-106.0,7.759637479839015,64.58801962550105,56.6299291669531,-80.90247499999998,7.944,2.0250590114858382,54.94441689300537,14.606014011398214,1.0,88,0,162,0
1,76,1,RCModel,0,0.95,250,43200,20,None,None,None,False,RCNestedReasoningPolicy,0,None,None,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.544,97.4312889373839,96.0,-112.0,-19.00101258676768,67.26305214799562,73.85371249999997,-69.41995277796872,7.944,2.0250590114858382,54.94441689300537,14.606014011398214,1.0,162,0,88,0
0,73,0,RCModel,0,0.95,250,43200,20,None,None,None,False,NestedSearchTree,1,4096,None,110.0,0.1,0.0196340691096474,0.0469492154193448,11.662726872194382,1.0019386161311483,0.3816626174336387,0.2773989164932805,0.045061349936894,0.0730457344513617,-100.248,30.460901102889277,94.0,-106.0,-74.31419458574986,21.81955932220387,64.80047553124997,-77.80735124999998,6.048,0.2137662274541981,72.84874634552001,6.647945789593908,1.0,244,0,6,0
1,73,1,RCModel,0,0.95,250,43200,20,None,None,None,False,RCNestedReasoningPolicy,2,None,None,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.152,30.759468395926515,95.0,-106.0,65.64730138925016,22.04472923039666,69.21102687499999,-74.86698368749997,6.048,0.2137662274541981,72.84874634552001,6.647945789593908,1.0,6,0,244,0
0,10,0,RCModel,0,0.95,250,43200,20,None,None,None,False,NestedSearchTree,3,1024,None,110.0,0.1,0.2942803053498294,0.1590160643883764,7.415875705347642,0.6299518705823596,0.9069333179944415,0.3351866206276163,0.3371004238696378,0.2986236449163033,84.876,37.17704431500708,94.0,-111.0,52.45772304296286,24.637795988664635,64.80047553124997,-77.80735124999998,8.924,1.574237593249507,74.66922044277192,17.312153160015168,1.0,9,0,241,0
1,10,1,RCModel,0,0.95,250,43200,20,None,None,None,False,RandomPolicy,None,None,None,None,None,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.724,37.4051309849331,95.0,-114.0,-65.06835674357865,24.4136809748393,69.21102687499999,-74.86698368749997,8.924,1.574237593249507,74.66922044277192,17.312153160015168,1.0,241,0,9,0
0,57,0,RCModel,0,0.95,250,43200,20,None,None,None,False,NestedSearchTree,2,128,None,110.0,0.1,1.3090926151146656,0.3089637516136394,0.7684072789702309,0.0308389461122744,0.03797425651524,0.0205994137988978,0.0139621360884733,0.0211945828059515,-77.996,67.47174211475497,92.0,-111.0,-59.87623110349567,43.25918875239164,56.6299291669531,-80.90247499999998,6.996,2.3366608654231364,5.694283580780029,2.101143820690925,1.0,215,0,35,0
1,57,1,RCModel,0,0.95,250,43200,20,None,None,None,False,RCNestedReasoningPolicy,1,None,None,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.004,71.34762773911969,96.0,-116.0,50.00214676809906,45.813786206996696,73.85371249999997,-69.41995277796872,6.996,2.3366608654231364,5.694283580780029,2.101143820690925,1.0,35,0,215,0
0,101,0,RCModel,0,0.95,250,43200,20,None,None,None,False,NestedSearchTree,1,1,None,110.0,0.1,1.909455531247511,0.0013723058643547,0.0039151436646779,0.0010464996287719,0.0008680353720982,5.970348249119618e-05,0.0004552445332209,0.0001218317006991,-108.992,1.469672072266465,-107.0,-111.0,-67.05486822830915,3.619982660930339,-62.22880701301092,-72.07363450312498,9.992,1.4696720722664631,0.0573073978424072,0.0156639999526416,1.0,250,0,0,0
1,101,1,RCModel,0,0.95,250,43200,20,None,None,None,False,RCNestedReasoningPolicy,0,None,None,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.008,1.469672072266465,93.0,89.0,53.0823023424641,5.429973991395511,60.61045175468748,45.8432105195164,9.992,1.4696720722664631,0.0573073978424072,0.0156639999526416,1.0,0,0,250,0
0,87,0,RCModel,0,0.95,250,43200,20,None,None,None,False,NestedSearchTree,1,512,None,110.0,0.1,0.6014182496157391,0.245344449976675,1.829899490336848,0.1188426971458307,0.0619521341526782,0.0535609497066146,0.0149810392332256,0.0262987379275668,-86.52,56.52682195206096,92.0,-112.0,-67.16424596550257,38.37542953621995,56.6299291669531,-80.90247499999998,5.92,1.5445387661046257,11.306399247169496,3.564192583019864,1.0,227,0,23,0
1,87,1,RCModel,0,0.95,250,43200,20,None,None,None,False,RCNestedReasoningPolicy,1,None,None,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.68,59.09627399422065,96.0,-112.0,58.77602128244876,40.21327728710737,73.85371249999997,-69.41995277796872,5.92,1.5445387661046257,11.306399247169496,3.564192583019864,1.0,23,0,227,0
0,118,0,RCModel,0,0.95,250,43200,20,None,None,None,False,NestedSearchTree,0,1024,None,110.0,0.1,0.160642321253501,0.1117797824585741,0.866433872460562,0.1192193732084651,0.0412680121198533,0.0334849534698252,0.0062082433098838,0.0070026253262528,92.16,17.714355760230195,94.0,-105.0,62.63381129602225,12.819623044161874,64.80047553124997,-77.80735124999998,7.24,0.5713142742834281,6.620435851097107,1.3321916979182509,1.0,2,0,248,0
1,118,1,RCModel,0,0.95,250,43200,20,None,None,None,False,RCNestedReasoningPolicy,2,None,None,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-104.64,17.936956263535926,95.0,-109.0,-73.03049185568132,12.865201420323448,69.21102687499999,-74.86698368749997,7.24,0.5713142742834281,6.620435851097107,1.3321916979182509,1.0,248,0,2,0
0,125,0,RCModel,0,0.95,250,43200,20,None,None,None,False,NestedSearchTree,0,128,None,110.0,0.1,0.9370043034994352,0.2200340587687686,0.1619791312904041,0.0195282163716929,0.0068540381695371,0.0034428306910235,0.0012104969137213,0.0022463345835749,88.928,25.041941138817613,94.0,-110.0,55.39467923992153,18.066895879048555,64.80047553124997,-77.80735124999998,8.872,2.125938851425412,1.5453168869018554,0.5775177124849391,1.0,4,0,246,0
1,125,1,RCModel,0,0.95,250,43200,20,None,None,None,False,RandomPolicy,None,None,None,None,None,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-104.672,25.32706883948474,95.0,-118.0,-67.87581167866338,17.35761645256957,69.21102687499999,-74.86698368749997,8.872,2.125938851425412,1.5453168869018554,0.5775177124849391,1.0,246,0,4,0
0,13,0,RCModel,0,0.95,250,43200,20,None,None,None,False,NestedSearchTree,3,1024,None,110.0,0.1,0.3538130534192583,0.2225333838316397,7.714971208386572,0.6389880431523295,0.4854757027652528,0.2284913104569951,0.0672525769313176,0.0927380435721782,-14.748,99.08540001433106,94.0,-108.0,-13.032987874889258,69.331184239128,64.80047553124997,-77.80735124999998,6.948,0.9172218924556912,57.29427669334412,10.816916956421396,1.0,136,0,114,0
