,exp_id,agent_id,model,seed,gamma,num_episodes,time_limit,step_limit,show_tree,show_belief,show_pi,render_asci,policy_name,nesting_level,num_sims,rollout_policies,uct_c,epsilon,policy_entropy_mean,policy_entropy_std,search_time_mean,search_time_std,update_time_mean,update_time_std,reinvigoration_time_mean,reinvigoration_time_std,episode_returns_mean,episode_returns_std,episode_returns_max,episode_returns_min,episode_discounted_returns_mean,episode_discounted_returns_std,episode_discounted_returns_max,episode_discounted_returns_min,episode_steps_mean,episode_steps_std,episode_times_mean,episode_times_std,episode_dones,num_outcome_LOSS,num_outcome_DRAW,num_outcome_WIN,num_outcome_NA
0,1,0,RCModel,0,0.95,1000,43200,20,None,None,None,False,NestedSearchTree,1,1024,None,175.0,0.1,1.8129891166613326e-10,2.459291684362277e-09,0.6231189929326375,0.0712514421453443,0.0626895652294158,0.056759233830198,7.035120328267416e-06,5.951304959005875e-07,95.998,0.0446766158073771,96.0,95.0,77.73097592499866,0.2183362968237478,77.74074999999999,72.85371249999997,5.002,0.0446766158073773,4.727720289945602,0.2214777712483054,1.0,0,0,1000,0
1,1,1,RCModel,0,0.95,1000,43200,20,None,None,None,False,NestedSearchTree,0,1024,None,175.0,0.1,2.602376738003617e-07,5.399364892087777e-06,0.2481276878913243,0.038653393874538,0.0100063830852508,0.0082504574045557,2.066413561503093e-06,1.80331742311843e-07,-104.002,0.0446766158073771,-104.0,-105.0,-85.15398394999919,0.1455575312158291,-81.90247499999998,-85.16049999999998,5.002,0.0446766158073773,4.727720289945602,0.2214777712483054,1.0,1000,0,0,0
0,0,0,RCModel,0,0.95,1000,43200,20,None,None,None,False,NestedSearchTree,1,1024,None,175.0,0.1,1.36622496600537e-10,6.323098707276896e-10,0.6095528280615807,0.0548010795012723,0.0624002501646677,0.0449431440858633,6.739330291748047e-06,7.466539450668692e-07,65.964,71.21542462135503,96.0,-103.0,52.56088267499962,59.68069057259113,77.74074999999999,-92.2,4.836,0.4136471926654404,3.241201476335525,0.1859557376974777,1.0,151,0,849,0
1,0,1,RCModel,0,0.95,1000,43200,20,None,None,None,False,RandomPolicy,None,None,None,None,None,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-73.636,72.00434364675533,98.0,-105.0,-59.69788844999957,60.36181133767715,88.3,-85.16049999999998,4.836,0.4136471926654404,3.241201476335525,0.1859557376974777,1.0,849,0,151,0
